date,total_trades,unique_accounts,total_volume_usd,mean_closed_pnl,median_closed_pnl,pnl_volatility,win_rate,activity_flag,sentiment
2023-05-01,3,1,477.0,0.0,0.0,0.0,,False,Greed
2023-12-05,9,1,50005.83,0.0,0.0,0.0,,True,Extreme Greed
2023-12-14,11,1,113203.35,-18.675885181818188,0.0,179.66353383090032,0.6666666666666666,True,Greed
2023-12-15,2,1,10609.95,-12.316017,-12.316017,4.474304424985184,0.0,False,Greed
2023-12-16,3,1,15348.77,0.0,0.0,0.0,,False,Greed
2023-12-17,14,1,116278.02,21.78448464285714,0.02676,43.51261683426808,0.6363636363636364,True,Greed
2023-12-18,2,1,31164.18,0.0,0.0,0.0,,False,Greed
2023-12-19,15,1,91602.41,66.70257413333334,4.502567,183.73537011741132,1.0,True,Greed
2023-12-20,18,1,141636.79000000004,9.040682333333333,0.0,21.348131428704395,1.0,True,Greed
2023-12-21,49,1,125233.97,10.963498,0.032592,20.811624735703514,0.9629629629629628,True,Greed
2023-12-22,10,1,88874.27999999998,14.1832675,0.0,40.92671758278208,1.0,True,Greed
2023-12-23,13,1,78438.25,11.302823384615388,10.836504,11.478402785910806,1.0,True,Greed
2023-12-24,39,1,402954.94,25.862050153846155,0.0,52.26701207747637,0.8823529411764706,True,Greed
2023-12-25,3,1,59948.51,-81.69378266666666,0.0,141.49778224115633,0.0,False,Greed
2023-12-27,28,1,171411.05999999997,-25.17461525,0.0,153.67464419092525,0.3076923076923077,True,Greed
2023-12-28,23,1,100117.25,-42.20569026086957,-13.250952,55.01514381004261,0.0,True,Greed
2023-12-29,50,1,569559.72,10.17844286,0.0,78.11192586732817,0.75,True,Greed
2023-12-30,52,1,702550.21,6.826897076923077,0.0,68.40190063585912,0.696969696969697,True,Greed
2024-01-01,18,1,264239.53,-7.196192222222223,0.0,85.84776860469921,0.1666666666666666,True,Greed
2024-01-02,17,1,121348.74,46.1164185882353,0.0,134.42834386429288,0.8888888888888888,True,Greed
2024-01-03,67,1,394499.36,12.925604582089552,0.0,50.41536566793374,0.8,True,Greed
2024-01-04,5,1,99792.54,-13.520728,-0.0786,29.544005214373357,0.0,True,Greed
2024-01-05,66,1,1703942.66,2.4869934090909096,0.0,60.72357581415712,0.5652173913043478,True,Greed
2024-01-06,22,1,298521.4,6.16280290909091,0.0,37.33837157380494,0.8333333333333334,True,Greed
2024-01-07,97,1,1048850.06,-8.615270463917525,0.0,34.03790592728155,0.2432432432432432,True,Greed
2024-01-08,128,1,1522452.43,-2.1083940546875013,0.0,122.41963598502316,0.4776119402985074,True,Greed
2024-01-09,70,1,870051.9699999999,-11.804998042857145,0.0,214.18032319364852,0.6428571428571429,True,Extreme Greed
2024-01-10,193,1,2057479.48,-7.860576901554405,0.0,119.78943280952495,0.4939759036144578,True,Greed
2024-01-11,21,2,305314.1,-7.8137857619047635,0.0,101.92627878710134,0.5555555555555556,True,Extreme Greed
2024-01-12,7,1,200082.27,-275.0741462857143,0.0,669.9280140108323,0.0,True,Greed
2024-01-15,14,2,50636.09999999999,10.918112857142855,2.494645,33.645786328134285,1.0,True,Neutral
2024-01-16,9,2,116427.33,-255.4634953333333,0.0,883.8757688873994,0.6,True,Greed
2024-01-17,53,1,800831.03,15.344794547169816,0.0,75.62653914486071,0.5789473684210527,True,Greed
2024-01-18,46,1,424631.5299999999,1.4985476086956522,0.0,39.503091785872144,0.3333333333333333,True,Greed
2024-01-19,48,2,428428.97,-8.029567395833334,0.0,51.79852685525565,0.2222222222222222,True,Neutral
2024-01-20,106,1,1070090.51,-1.38278179245283,0.0,38.55428276193464,0.46875,True,Neutral
2024-01-21,11,1,103129.74,24.234649636363635,0.0,65.56080670770307,0.6,True,Greed
2024-01-22,85,2,337878.99,16.18401128235294,0.0,80.41613478472644,0.5609756097560976,True,Greed
2024-01-23,45,1,414518.93000000005,-8.205438444444432,0.0,613.9643726523256,0.55,True,Neutral
2024-01-24,68,1,965084.59,-41.29932080882354,0.0,149.80536214908793,0.25,True,Neutral
2024-01-25,6,1,66566.12999999999,-515.6048975,-481.4421925,356.6379016697523,0.0,True,Neutral
2024-01-26,5,2,11773.21,18.04,0.0,40.33866631409621,1.0,True,Neutral
2024-01-28,11,1,18109.03,-225.27906545454545,-68.216526,262.6842407250483,0.0,True,Neutral
2024-01-29,74,2,414208.17999999993,6.575169486486487,0.0479375,28.607026832226545,1.0,True,Greed
2024-01-30,49,1,401011.38,-3.5439630816326537,0.0,55.42304810390517,0.2631578947368421,True,Greed
2024-01-31,859,1,6305647.13,-0.93113017112922,0.0,21.849509151147835,0.5298165137614679,True,Greed
2024-02-01,6,1,2008.18,0.0,0.0,0.0,,True,Greed
2024-02-02,42,1,474278.43,10.867225547619046,0.0,41.93124714430261,0.6190476190476191,True,Greed
2024-02-03,56,1,603820.0,3.987664053571428,0.0,68.62663189543063,0.5,True,Greed
2024-02-04,35,1,203187.53,1.3606827142857136,-0.02695,31.922762604224413,0.3214285714285714,True,Greed
2024-02-05,72,1,770198.26,-0.4646415833333341,0.0,46.10792460482958,0.4375,True,Greed
2024-02-06,1088,1,8047153.41,-0.1981763851102941,0.0,12.691313381082024,0.3422562141491396,True,Greed
2024-02-07,15,1,6758.73,16.082808,0.0,56.54657345272468,1.0,True,Greed
2024-02-08,10,1,26051.120000000003,77.0756024,0.0,139.7456782629763,1.0,True,Greed
