Metric,Fear_Median,Greed_Median,Directional_Change,Mann_Whitney_p,KS_p,Statistically_Significant
total_trades,192.0,63.0,Higher in Fear (-67.2%),0.0042273807870395926,1.8208085822911422e-07,Yes
unique_accounts,8.0,2.0,Higher in Fear (-75.0%),2.1240728885872545e-08,2.3788289897118995e-08,Yes
total_volume_usd,839734.97,286377.19999999995,Higher in Fear (-65.9%),0.013497970474792419,1.1677752604058868e-07,Yes
mean_closed_pnl,17.88896875,17.640266936305732,No substantial change,0.811501572416748,0.911627311255026,No
median_closed_pnl,0.0,0.0,Higher in Fear (nan%),0.07260479344833827,0.21521040280601905,No
pnl_volatility,173.27801983740284,85.84776860469921,Higher in Fear (-50.5%),0.001379710667022248,6.23217446544639e-05,Yes
win_rate,0.9315164220824598,0.9615384615384616,No substantial change,0.5870417169539719,0.6434267250329854,No
